project	n_samples	n_experiments	n_runs	runs_per_sample_max	strict_1to1	n_assay_triples	distinct_wells	well_coverage	looks_plate	plate_format	plates_est	assay_triples	found_by
PRJNA1394342	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1397167	36	36	38	2	False	3	0	0.0	False			OTHER|GENOMIC|other;OTHER|OTHER|other;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	Drop-seq
PRJNA1425071	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA1461218	36	36	36	1	True	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|PolyA;WGS|METAGENOMIC|RANDOM	bulk RNA-seq
PRJNA1478075	36	36	36	1	True	2	3	0.833	False		12.0	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA_oligo_dT;RNA-Seq|TRANSCRIPTOMIC|PCR	bulk RNA-seq
PRJNA1482653	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1490476	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA288826	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA309678	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	polyA selected RNA-seq
PRJNA342113	36	36	36	1	True	1	3	1.0	False		12.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	polyA selected RNA-seq
PRJNA404081	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA415380	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA445555	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA489076	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA511997	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	Drop-seq
PRJNA541905	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA556274	36	36	180	5	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA560063	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA674506	36	36	92	3	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA680565	36	36	84	4	False	2	3	0.143	False		12.0	OTHER|TRANSCRIPTOMIC|other;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA714232	36	36	36	1	True	1	3	0.667	False		12.0	RNA-Seq|TRANSCRIPTOMIC|PolyA	bulk RNA-seq
PRJNA737340	36	36	48	4	False	2	0	0.0	False			OTHER|TRANSCRIPTOMIC|other;RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA759180	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA761448	36	36	57	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA762540	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	Parse Biosciences
PRJNA768256	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA768860	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA777700	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|Oligo-dT	bulk RNA-seq
PRJNA800732	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
